id;image;title;author;format;nazwa;rozmiary;kategoria;cena_duzy;cena_maly;ilosc(quantity)
469;https://as1.ftcdn.net/jpg/02/59/25/30/500_F_259253015_j68uyLe56hr7w0L6vnQqSKDfpXoDtCwT.jpg;Green-white dahlia flower macro;Marcel\Stocksy;jpeg;Rozmiar;3648x5472,1125x1688;Makro;1120.99;538.99;46
470;https://as1.ftcdn.net/jpg/03/85/16/54/500_F_385165465_YPUk3UCfW0NWa4JCivRCR25VhwEI2J3Q.jpg;micrograph plant cells of woody dicot stem;Pansfun Images\Stocksy;jpeg;Rozmiar;7952x5304,1688x1126;Makro;1120.99;538.99;100
471;https://as1.ftcdn.net/jpg/02/22/99/98/500_F_222999897_FLA9mro2vCKVOJF8EC9EyqH9CPKJt5bz.jpg;flowers in the garden;Hannah;jpeg;Rozmiar;5616x3744,1688x1125;Makro;1120.99;538.99;100
472;https://as1.ftcdn.net/jpg/01/69/43/96/500_F_169439643_9SIP6BRQWAiYWFrn5VKSHouzAgH7HBvG.jpg;A cleome;alan shapiro\Stocksy;jpeg;Rozmiar;3741x5239,1165x1631;Makro;1120.99;538.99;59
473;https://as1.ftcdn.net/jpg/02/15/90/72/500_F_215907207_ORoiRdLVRzexBbFxBY3laN5rPSvb1e6G.jpg;Poppy macro;ALAN SHAPIRO\Stocksy;jpeg;Rozmiar;2946x3968,1188x1600;Makro;1120.99;538.99;98
474;https://as1.ftcdn.net/jpg/01/95/69/12/500_F_195691233_dblP6YDH51ZSsNRqmJ5A6z0Nkm4feVL8.jpg;Macro detail of green algae;Rob and Julia Campbell\Stocksy;jpeg;Rozmiar;3241x4861,1126x1688;Makro;1120.99;538.99;50
475;https://as2.ftcdn.net/jpg/02/27/60/03/500_F_227600343_haUZk7r6tHViiPIc5njjrarC3wextMnR.jpg;close up image of pink poppy petals;kknox\Stocksy;jpeg;Rozmiar;6720x4480,1688x1125;Makro;1120.99;538.99;90
476;https://as1.ftcdn.net/jpg/02/32/58/88/500_F_232588851_CWe7wUagJxJctYgEVU7A1L1w635uth4v.jpg;Kiku;Stocksy;jpeg;Rozmiar;3771x5028,1194x1592;Makro;1120.99;538.99;35
477;https://as2.ftcdn.net/jpg/02/64/57/13/500_F_264571395_IFuybkmAAWdvmC3TezBScgJ3uouRZ4Ji.jpg;blatt;Cathrin;jpeg;Rozmiar;2895x3451,1262x1505;Makro;1120.99;538.99;39
478;https://as2.ftcdn.net/jpg/02/68/20/01/500_F_268200178_5XY5cdg7KQF3quW2m1ZHj93NF1ZqD3j8.jpg;Macro shoot of yellow plants and flowers inside the forest.;Javier Pardina\Stocksy;jpeg;Rozmiar;5205x7804,1126x1688;Makro;1120.99;538.99;24
479;https://as1.ftcdn.net/jpg/03/18/09/64/500_F_318096462_kR5Y6ECyoLpKHXnRyYoI4NhkADt1CDdn.jpg;Close-Up Of Mushroom Growing On Field;kamil porabik\EyeEm;jpeg;Rozmiar;4288x2848,1691x1123;Makro;1120.99;538.99;66
480;https://as1.ftcdn.net/jpg/02/11/94/70/500_F_211947023_lMpPUCDTGqWSHz3d5Y0X0hDuLnH5BXXn.jpg;Chinese Butterfly red with big black wings;WWC;jpeg;Rozmiar;3837x2558,1688x1125;Makro;1120.99;538.99;82
481;https://as1.ftcdn.net/jpg/01/84/64/80/500_F_184648059_kLD9A5p7jemjRLmJRaoiSLPAWyu2z0La.jpg;Close-up of a spider on a flower;RooM The Agency;jpeg;Rozmiar;5472x3648,1688x1125;Makro;1120.99;538.99;96
482;https://as2.ftcdn.net/jpg/03/37/09/07/500_F_337090742_CKHnyPzlyuZUwkCRUlEDonb1EVBYHggK.jpg;Lavender field during sunset;Pixel Stories\Stocksy;jpeg;Rozmiar;7995x5330,1688x1125;Makro;1120.99;538.99;91
483;https://as2.ftcdn.net/jpg/02/80/07/43/500_F_280074352_Ia5vKlacO5x48EwLoUyHzp6ZHwRXVg3e.jpg;Blueberries ;Simi Jois;jpeg;Rozmiar;6016x4016,1687x1126;Makro;2240.99;1120.99;49
484;https://as1.ftcdn.net/jpg/02/68/18/64/500_F_268186456_DWdBvLLy08Fkl2etyqi0D1UTsj2Ub4Se.jpg;close up image of pink freesia;Kelly Knox\Stocksy;jpeg;Rozmiar;6720x4480,1688x1125;Makro;1120.99;538.99;86
485;https://as2.ftcdn.net/jpg/03/75/00/47/500_F_375004762_T8Kv4G7RLfQanVnUMG9QTHgKcFgSSDRm.jpg;Macro abstract of mum flower petals;Kerry Murphy\Stocksy;jpeg;Rozmiar;5184x3456,1688x1125;Makro;1120.99;538.99;99
486;https://as1.ftcdn.net/jpg/02/27/60/02/500_F_227600232_gQcvqoh9mvzTDnNfSYd9MkBKXFX489pf.jpg;Floating squid in black water;songnick\Stocksy;jpeg;Rozmiar;6720x4480,1688x1125;Makro;1120.99;538.99;3
