image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as1.ftcdn.net/jpg/02/06/37/78/500_F_206377893_pwkBLroKobU1cDClLdOtNWbLO456HPzx.jpg;Close-up of Dahlia Pinnata blooming;Cavan Images;jpeg;4410x3308;1592x1194;Makro;1120.99;538.99;62
https://as1.ftcdn.net/jpg/03/75/20/94/500_F_375209462_N4Asvga4EQFibO6xWrjhDmGj21cbw8jA.jpg;mushrooms;Gillian Vann\Stocksy;jpeg;4256x2832;1690x1124;Makro;1120.99;538.99;81
https://as1.ftcdn.net/jpg/02/72/48/20/500_F_272482015_CI8tCjBvvsnE7rldZ2PCJIURHoSZhFnk.jpg;Cereal leaf beetle perching on fresh newborn green leaves;Laura Stolfi\Stocksy;jpeg;3732x5625;1123x1692;Makro;1120.99;538.99;82
https://as1.ftcdn.net/jpg/03/33/00/06/500_F_333000637_wGrFUGVvquAtKreHnLYfGlSxL0PJLIu7.jpg;Aloe Transvaalensis;ALAN SHAPIRO\Stocksy;jpeg;3785x5463;1147x1656;Makro;1120.99;538.99;37
https://as1.ftcdn.net/jpg/02/13/01/02/500_F_213010262_cmg7svoKRS8WjHN2F26BdDzmQIRmSmdv.jpg;European hornet (Vespa crabro)  closeup of the head of a female worker  Germany  Europe;imageBROKER;jpeg;5121x3414;1688x1125;Makro;1120.99;538.99;64
https://as2.ftcdn.net/jpg/02/08/85/73/500_F_208857357_RkW2JUgeZ3UtqU5IcAmxJsl1CtJGMfje.jpg;Screws Nuts and bolts are stacked for selling-Top view;parthapal\Stocksy;jpeg;3024x3024;1378x1378;Makro;1120.99;538.99;45
https://as2.ftcdn.net/jpg/02/32/67/85/500_F_232678548_ZQzvCWskEeOo2G1Ru3rcBxNygiP1V9du.jpg;Macro Cannabis;Stocksy;jpeg;5472x3648;1688x1125;Makro;1120.99;538.99;12
https://as2.ftcdn.net/jpg/02/54/52/43/500_F_254524388_P8AoE7KOZgzngkQysI5caOYAH8nLR3mg.jpg;macro shot of yellow flower;Birgith Roosipuu\Scopio;jpeg;2736x1824;1688x1125;Makro;2240.99;1120.99;103
https://as2.ftcdn.net/jpg/03/68/28/31/500_F_368283168_sndyzL44z9NEszPgU13JcRS60dCL5o9o.jpg;A close up of small  colourful pebbles  naturally embedded in a sandstone rock structure.;Mel Lawrence\Austockphoto;jpeg;5323x3549;1688x1126;Makro;1120.99;538.99;37
https://as2.ftcdn.net/jpg/01/87/66/33/500_F_187663377_MchTbNSxYatVkccQKzDldZZxdk3KTsWf.jpg;Fotografia macro de um louva-a-deus;Kostadin Luchansky;jpeg;7360x4912;1687x1126;Makro;1120.99;538.99;43
https://as1.ftcdn.net/jpg/03/78/20/86/500_F_378208626_85s4040VblufmTrFP6C3WtfBzvrqhQTf.jpg;Macro View of Bird Feathers;Kathryn Swayze\Stocksy;jpeg;4534x3027;1687x1126;Makro;1120.99;538.99;104
